# <bound> <#operations>
4	3
5	4
6	5
7	6
8	7
9	8
10	9
11	10
12	12
13	13
14	14
15	15
16	16
17	17
18	19
19	20
20	21
21	22
22	23
23	24
24	26
25	27
26	28
27	29
28	30
29	31
30	34
31	35
32	36
33	37
34	38
35	39
36	41
37	42
38	43
39	44
40	46
41	47
42	49
43	50
44	51
45	53
46	54
47	55
48	57
49	58
50	60
51	61
52	62
53	63
54	65
55	66
56	68
57	69
58	70
59	71
60	74
61	75
62	76
63	78
64	79
65	80
66	82
67	83
68	84
69	85
70	88
71	89
72	91
73	92
74	93
75	95
76	96
77	97
78	99
79	100
80	102
81	103
82	104
83	105
84	108
85	109
86	110
87	111
88	112
89	113
90	116
91	117
92	118
93	119
94	120
95	121
96	123
97	124
98	126
99	127
100	129
101	130
102	132
103	133
104	134
105	137
106	138
107	139
108	141
109	142
110	144
111	145
112	147
113	148
114	150
115	151
116	152
117	153
118	154
119	155
120	158
121	159
122	160
123	161
124	162
125	163
126	166
127	167
128	168
129	169
130	171
131	172
132	175
133	176
134	177
135	179
136	180
137	181
138	183
139	184
140	187
141	188
142	189
143	190
144	192
145	193
146	194
147	196
148	197
149	198
150	201
151	202
152	203
153	204
154	207
155	208
156	210
157	211
158	212
159	213
160	215
161	216
162	218
163	219
164	220
165	223
166	224
167	225
168	228
169	229
170	231
171	232
172	233
173	234
174	236
175	238
176	240
177	241
178	242
179	243
180	246
181	247
182	250
183	251
184	252
185	253
186	255
187	256
188	257
189	259
190	261
191	262
192	264
193	265
194	266
195	269
196	271
197	272
198	275
199	276
200	278
201	279
202	280
203	281
204	283
205	284
206	285
207	286
208	288
209	289
210	293
211	294
212	295
213	296
214	297
215	298
216	300
217	301
218	302
219	303
220	306
221	307
222	309
223	310
224	312
225	314
226	315
227	316
228	318
229	319
230	321
231	324
232	325
233	326
234	329
235	330
236	331
237	332
238	334
239	335
240	338
241	339
242	341
243	342
244	343
245	345
246	347
247	348
248	349
249	350
250	352
251	353
252	356
253	357
254	358
255	360
256	361
257	362
258	364
259	365
260	368
261	369
262	370
263	371
264	374
265	375
266	377
267	378
268	379
269	380
270	383
271	384
272	385
273	388
274	389
275	391
276	393
277	394
278	395
279	396
280	399
281	400
282	402
283	403
284	404
285	406
286	409
287	410
288	412
289	413
290	415
291	416
292	417
293	418
294	421
295	422
296	423
297	425
298	426
299	427
300	430
301	431
302	432
303	433
304	434
305	435
306	438
307	439
308	442
309	443
310	445
311	446
312	449
313	450
314	451
315	454
316	455
317	456
318	458
319	459
320	461
321	462
322	464
323	465
324	467
325	469
326	470
327	471
328	472
329	473
330	477
331	478
332	479
333	480
334	481
335	482
336	485
337	486
338	488
339	489
340	492
341	493
342	495
343	496
344	497
345	499
346	500
347	501
348	503
349	504
350	507
351	509
352	511
353	512
354	514
355	515
356	516
357	519
358	520
359	521
360	524
361	525
362	526
363	528
364	531
365	532
366	534
367	535
368	536
369	537
370	539
371	540
372	542
373	543
374	546
375	548
376	549
377	550
378	553
379	554
380	557
381	558
382	559
383	560
384	562
385	565
386	566
387	567
388	568
389	569
390	573
391	574
392	576
393	577
394	578
395	579
396	582
397	583
398	584
399	587
400	589
401	590
402	592
403	593
404	594
405	596
406	598
407	599
408	602
409	603
410	605
411	606
412	607
413	608
414	610
415	611
416	613
417	614
418	617
419	618
420	622
421	623
422	624
423	625
424	626
425	628
426	630
427	631
428	632
429	635
430	637
431	638
432	640
433	641
434	643
435	645
436	646
437	647
438	649
439	650
440	653
441	655
442	658
443	659
444	661
445	662
446	663
447	664
448	666
449	667
450	670
451	671
452	672
453	673
454	674
455	677
456	680
457	681
458	682
459	684
460	686
461	687
462	691
463	692
464	693
465	695
466	696
467	697
468	700
469	701
470	703
471	704
472	705
473	706
474	708
475	710
476	713
477	714
478	715
479	716
480	719
481	720
482	721
483	723
484	725
485	726
486	728
487	729
488	730
489	731
490	734
491	735
492	737
493	738
494	741
495	744
496	745
497	746
498	748
499	749
500	751
501	752
502	753
503	754
504	757
505	758
506	760
507	762
508	763
509	764
510	768
511	769
512	770
513	772
514	773
515	774
516	776
517	777
518	779
519	780
520	783
521	784
522	786
523	787
524	788
525	791
526	792
527	793
528	796
529	797
530	799
531	800
532	803
533	804
534	806
535	807
536	808
537	809
538	810
539	812
540	815
541	816
542	817
543	818
544	820
545	821
546	825
547	826
548	827
549	828
550	831
551	832
552	835
553	836
554	837
555	839
556	840
557	841
558	843
559	844
560	847
561	850
562	851
563	852
564	854
565	855
566	856
567	858
568	859
569	860
570	864
571	865
572	868
573	869
